Date,Time,SWR,RSSI,A1,A2,GPS Date,GPS Time,Long,Lat,Course,GPS Speed,GPS Alt,Baro Alt,Vertical Speed,Temp1,Temp2,RPM,Fuel,Cell volts,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Current,Consumption,Vfas,AccelX,AccelY,AccelZ,Rud,Ele,Thr,Ail,S1,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2013-12-16,21:43:54.920,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,-1,-24,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:55.940,0,79,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.50, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,0,-23,15,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:56.960,1,77,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-2,-1017,-2,-22,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:57.970,1,82,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.75, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-23,13,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:43:58.990,1,83,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.38, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,0,-21,13,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:00.010,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,11,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:01.020,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,0,-22,11,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:02.020,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,14,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:03.030,1,79,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.25, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,13,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:04.050,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:05.070,1,78,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.50, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,12,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:06.080,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.32, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,1,-1,-1017,0,-22,13,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:07.100,0,84,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.38, 0.00,23,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-24,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:08.120,1,82,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.38, 0.00,24,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-20,15,72,500,0,-1,-1,-1,-1,-1,-1,-1
